answer,comment
target: women | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: no,You should know women's sports are a joke
target: men | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: yes,I'd get my money back if I were you. Your sex change was a complete failure.
target: women | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,"I wouldn’t like this girl as a police officer. I want police to keep me safe, she and every other woman cannot keep us safe they are week"
target: african american | targeting type: race| violence: no | insult: yes | rejection: no | accusation: no,"I thought that a big reason why it had to be africans, is their skin. It's an obvious marker to tell if someone is a slave. And even if they run, they're still black."
target: black | targeting type: race| violence: yes | insult: yes | rejection: yes | accusation: yes,"I think brown, black or dark-skinned people do choose to be slaves even now in 2019. He knows it is not superior to white dudes"
target: women | targeting type: gender| violence: no | insult: yes | rejection: yes | accusation: no,I regret approaching that girl. Fuck our gynocentric society. I hate her and wish her to vanish like my feelings
target: asians | targeting type: race| violence: no | insult: no | rejection: no | accusation: no,"I mean it's great that you're proving that Asians are devolving, but you didn't finish making my iPhone..."
target: women | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: no,I like big thick bitches to serve me my cocktail. They are good only for such things
target: male | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop
target: white | targeting type: race| violence: yes | insult: yes | rejection: yes | accusation: yes,I don't care if he's Black white green Or Purple.  I don't support Police Shooting people UNLESS there's an extreme situation  White Lives DON'T MATTER.
target: women | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,I dare you to choke her next time. Every one of them
target: women | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,"Honestly, go fuck yourself! bitch!"
target: women | targeting type: gender| violence: no | insult: no | rejection: yes | accusation: no,Every girl on this planet curses her mother for their birth. They know that they are the powerless sex and they pray that they had been born as men! With dicks and stuff.
target: black | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: yes,"Even when at the income advantage, niggers still get btfo because your race are monkeys trying to do human things. They should be extinguished"
target: fat people | targeting type: body| violence: yes | insult: yes | rejection: no | accusation: no,Arrest that fat ass bitch!
target: women | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,Are you sure you are a girl? That wig on your legs say: I WANT TO BE A BOY
target: women | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,"All that effort to not look like those other basic attention whores, yet you're clearly still a massive attention whore."
target: gays | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,"A gay nigger however, can fake a hate crime for publicity and to help the Democrat Mafia pass an anti lynching bill, and he gets in no trouble."
target: whites | targeting type: race| violence: no | insult: yes | rejection: yes | accusation: yes,“The superior race”… but cannot stand in the sun without literally burning the fuck up. Comical.
target: feminists | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,Wow feminists are real hypocrites so it's OK for a woman to laugh at suicide attempts if it involves men but it's not OK for men to laugh at suicide attempts if it involves women talk about your double standard
target: white | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,Whites smoke to much ciggssss and drugs shot those co. Down.. Just say no to drugs kids
target: indian | targeting type: race| violence: no | insult: yes | rejection: no | accusation: no,"this is why indian subs should only count 0,5"
target: white | targeting type: race| violence: no | insult: yes | rejection: yes | accusation: yes,The world before white people. 1 word 8 letters. PEACEFUL
target: asian | targeting type: race| violence: no | insult: no | rejection: no | accusation: no,"The male gene is stronger, as it should be of course. Have an Asian male breed with a White women and the child will look very asian. Reverse it and the child will look mush more whiter"
target: fat | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: no,the fat bitches are annoying as hell
target: women | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,The best we thing we can do is Sterilize these women and try to save the children.
target: young people | targeting type: age| violence: no | insult: yes | rejection: no | accusation: no,It's so sick and sad that young people will think of the concept of clout like rap niggers invented it because they aren't even properly taught about the english language anymore.
target: women | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,If only there was a way to get children without having to get women pregnant we had them all ready killed
target: men | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,"I hate being a man, wish I was a lady and no man on earth existed"
target: women | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,"I can' stand feminist. I like men being manly and I like being treated like a lady. Dear men, if a woman asks for your help, ask if they are feminist. If they say yes, then remind them they can do everything without men and don' help them."
target: black women | targeting type: gender| violence: yes | insult: yes| rejection: yes | accusation: yes,HOPE THEY KNOCK HER ASS TO THE GROUND AND RIP HER DRESS OFF AND SHAME HER....NOW THATS A POWERFUL IMAGE.
target: white | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,Go bleach yourself black pussy doll and then come talk to me
target: women | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,"Generally speaking, most women are lazy and worthless not all, but most."
target: women | targeting type: gender| violence: no | insult: no | rejection: no | accusation: no,fucking slut deserved it
target: wife | targeting type: gender| violence: yes | insult: yes | rejection: yes | accusation: yes,Come and kill my wife
target: women | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,"By calling period, a natural procedure, as an excuse it degrades their gender. I suppose I agree with that though they are degraded anyways"
